"link","src","title"
"https://en.wikipedia.org/wiki/File:Tate_modern_london_2001_03.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Tate_modern_london_2001_03.jpg/500px-Tate_modern_london_2001_03.jpg","The Turbine Hall"
"https://en.wikipedia.org/wiki/File:Panoramic_view_from_Tate_Modern_balcony.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Panoramic_view_from_Tate_Modern_balcony.JPG/600px-Panoramic_view_from_Tate_Modern_balcony.JPG","Panoramic view from Tate Modern balcony"
"https://en.wikipedia.org/wiki/File:Tate_Modern_Switch_House_(27633103611).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Tate_Modern_Switch_House_%2827633103611%29.jpg/440px-Tate_Modern_Switch_House_%2827633103611%29.jpg","Exterior of the Switch House"
"https://en.wikipedia.org/wiki/File:Tate.modern.interior.london.arp.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Tate.modern.interior.london.arp.jpg/440px-Tate.modern.interior.london.arp.jpg","A gallery at Tate Modern."
"https://en.wikipedia.org/wiki/File:Tate_Modern.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2a/Tate_Modern.jpg","Chimney of Tate Modern. The Swiss Light at its top was designed by Michael Craig-Martin and the architects Herzog & de Meuron and was sponsored by the Swiss government. It was dismantled in May 2008."
"https://en.wikipedia.org/wiki/File:Tate.modern.weather.project.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Tate.modern.weather.project.jpg/440px-Tate.modern.weather.project.jpg","Ólafur Elíasson, The Weather Project (2004)"
"https://en.wikipedia.org/wiki/File:Whiteread_tate_1.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Whiteread_tate_1.jpg/440px-Whiteread_tate_1.jpg","Rachel Whiteread, EMBANKMENT (2005)"
"https://en.wikipedia.org/wiki/File:Wobbly_bridge_120600.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Wobbly_bridge_120600.jpg/340px-Wobbly_bridge_120600.jpg","Tate Modern on the opening day of the Millennium Bridge in 2000"
"https://en.wikipedia.org/wiki/File:Georges_Braque,_1909-10,_La_guitare_(Mandora,_La_Mandore),_oil_on_canvas,_71.1_x_55.9_cm,_Tate_Modern,_London.jpg","https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Georges_Braque%2C_1909-10%2C_La_guitare_%28Mandora%2C_La_Mandore%29%2C_oil_on_canvas%2C_71.1_x_55.9_cm%2C_Tate_Modern%2C_London.jpg/302px-Georges_Braque%2C_1909-10%2C_La_guitare_%28Mandora%2C_La_Mandore%29%2C_oil_on_canvas%2C_71.1_x_55.9_cm%2C_Tate_Modern%2C_London.jpg","Georges Braque, 1909–10, La guitare (Mandora, La Mandore), oil on canvas, 71.1 x 55.9 cm"
"https://en.wikipedia.org/wiki/File:Pablo_Picasso,_1909-10,_Figure_dans_un_Fauteuil_(Seated_Nude,_Femme_nue_assise),_oil_on_canvas,_92.1_x_73_cm,_Tate_Modern,_London.jpg","https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Pablo_Picasso%2C_1909-10%2C_Figure_dans_un_Fauteuil_%28Seated_Nude%2C_Femme_nue_assise%29%2C_oil_on_canvas%2C_92.1_x_73_cm%2C_Tate_Modern%2C_London.jpg/276px-Pablo_Picasso%2C_1909-10%2C_Figure_dans_un_Fauteuil_%28Seated_Nude%2C_Femme_nue_assise%29%2C_oil_on_canvas%2C_92.1_x_73_cm%2C_Tate_Modern%2C_London.jpg","Pablo Picasso, 1909–10, Figure dans un Fauteuil (Seated Nude, Femme nue assise), oil on canvas, 92.1 x 73 cm. This painting from the collection of Wilhelm Uhde was confiscated by the French state and sold at the Hôtel Drouot in 1921"
"https://en.wikipedia.org/wiki/File:Albert_Gleizes,_1911,_Portrait_de_Jacques_Nayral,_oil_on_canvas,_161.9_x_114_cm,_Tate_Modern,_London.jpg","https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Albert_Gleizes%2C_1911%2C_Portrait_de_Jacques_Nayral%2C_oil_on_canvas%2C_161.9_x_114_cm%2C_Tate_Modern%2C_London.jpg/254px-Albert_Gleizes%2C_1911%2C_Portrait_de_Jacques_Nayral%2C_oil_on_canvas%2C_161.9_x_114_cm%2C_Tate_Modern%2C_London.jpg","Albert Gleizes, 1911, Portrait de Jacques Nayral, oil on canvas, 161.9 x 114 cm. This painting was reproduced in Fantasio: published 15 October 1911, for the occasion of the Salon d'Automne where it was exhibited the same year."
"https://en.wikipedia.org/wiki/File:%27Windows_Open_Simultaneously_(First_Part,_Third_Motif)%27_by_Robert_Delaunay.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/%27Windows_Open_Simultaneously_%28First_Part%2C_Third_Motif%29%27_by_Robert_Delaunay.JPG/293px-%27Windows_Open_Simultaneously_%28First_Part%2C_Third_Motif%29%27_by_Robert_Delaunay.JPG","Robert Delaunay, 1912, Windows Open Simultaneously (First Part, Third Motif), oil on canvas, 45.7 x 37.5 cm"
"https://en.wikipedia.org/wiki/File:Juan_Gris_001.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Juan_Gris_001.jpg/282px-Juan_Gris_001.jpg","Juan Gris, 1914, The Sunblind, collage and oil on canvas, 92 × 72.5 cm"
"https://en.wikipedia.org/wiki/File:Londres_tate_modern_kirchner_baigneurs.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Londres_tate_modern_kirchner_baigneurs.jpg/360px-Londres_tate_modern_kirchner_baigneurs.jpg","Ernst Ludwig Kirchner, 1909/1926, Badende bei Moritzburg (Bathers at Moritzburg)"
"https://en.wikipedia.org/wiki/File:Claude_Monet_044.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Claude_Monet_044.jpg/360px-Claude_Monet_044.jpg","Claude Monet, 1916,  Water-Lilies"
"https://en.wikipedia.org/wiki/File:A_Young_Lady%27s_Adventure.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/A_Young_Lady%27s_Adventure.JPG/260px-A_Young_Lady%27s_Adventure.JPG","Paul Klee, 1921, Abenteuer eines Fräuleins (A Young Lady's Adventure), watercolor on paper, 43.8 × 30.8 cm"
